name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description
"New York City,USA",2018-07-26T00:00:00Z,29.4,22.4,25.7,31.4,22.4,26.6,21.1,77.2,2.024,100,16.67,0,0,25.9,10.7,254.1,1011.2,63.8,15.1,161.7,13.9,7,2018-07-26T03:47:06Z,2018-07-26T18:17:29Z,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
"New York City,USA",2018-07-27T00:00:00Z,29.9,21.3,25.7,32.9,21.3,26.6,20.9,75.6,8.979,100,33.33,0,0,35.3,20.7,195.8,1014.8,52.4,13.6,214.7,18.5,8,2018-07-27T03:48:01Z,2018-07-27T18:16:32Z,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
"New York City,USA",2018-07-28T00:00:00Z,29.5,21.2,25.3,31,21.2,26,20.1,74.8,0,0,0,0,0,14,14,295.3,1015,44.8,12.9,254.3,21.9,9,2018-07-28T03:48:56Z,2018-07-28T18:15:34Z,0.53,Partially cloudy,Becoming cloudy in the afternoon.
"New York City,USA",2018-07-29T00:00:00Z,27.5,22,25,28,22,25.1,15.8,57.3,0,0,0,0,0,11.2,11.2,318.5,1017.9,42.5,16,257.4,22.3,8,2018-07-29T03:49:52Z,2018-07-29T18:14:34Z,0.56,Partially cloudy,Becoming cloudy in the afternoon.
"New York City,USA",2018-07-30T00:00:00Z,25.6,21,23.6,25.6,21,23.6,16.8,66.5,5.787,100,8.33,0,0,11.7,11.7,87.7,1020.2,34.3,15.7,116.6,10,5,2018-07-30T03:50:48Z,2018-07-30T18:13:33Z,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
"New York City,USA",2018-07-31T00:00:00Z,27.4,20.3,23.6,28.4,20.3,23.7,18,71.5,0,0,0,0,0,27.7,18.4,124.2,1019.8,40.5,15.6,232.4,20.1,8,2018-07-31T03:51:44Z,2018-07-31T18:12:30Z,0.63,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-08-01T00:00:00Z,29.8,23.7,26.4,33.1,23.7,28.1,22.5,79.8,2.264,100,29.17,0,0,47.9,27,178.8,1017,82.5,14.9,182,15.7,8,2018-08-01T03:52:41Z,2018-08-01T18:11:25Z,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-08-02T00:00:00Z,30.6,24.7,27.6,34.8,24.7,29.5,21.9,71.9,3.398,100,20.83,0,0,38.9,15.2,238.9,1018.5,49.8,16,199.1,17.1,7,2018-08-02T03:53:38Z,2018-08-02T18:10:20Z,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
"New York City,USA",2018-08-03T00:00:00Z,29.2,23.8,26.3,33.8,23.8,27.3,23,82.5,5.503,100,25,0,0,38.9,10.8,204.4,1020.8,55.2,15.7,165.3,14.2,7,2018-08-03T03:54:35Z,2018-08-03T18:09:12Z,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
"New York City,USA",2018-08-04T00:00:00Z,32,23.8,26.8,35,23.8,28,22.4,78.3,13.337,100,20.83,0,0,13,13,262.6,1018.8,65.5,15.3,167.2,14.5,8,2018-08-04T03:55:33Z,2018-08-04T18:08:03Z,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
"New York City,USA",2018-08-05T00:00:00Z,33.7,24.3,29,37.3,24.3,31,21.3,64.7,0,0,0,0,0,11.2,11.2,294.3,1020.3,7.2,16,285.3,24.7,9,2018-08-05T03:56:31Z,2018-08-05T18:06:53Z,0.8,Clear,Clear conditions throughout the day.
"New York City,USA",2018-08-06T00:00:00Z,33.8,25.7,29.4,38.8,25.7,32.4,22.8,68.6,0,0,0,0,0,25.9,16.6,253.6,1018.3,4,15.7,231.3,20,8,2018-08-06T03:57:29Z,2018-08-06T18:05:41Z,0.84,Clear,Clear conditions throughout the day.
"New York City,USA",2018-08-07T00:00:00Z,32.7,24.9,28,38.1,24.9,30.9,23.4,76.7,1.469,100,12.5,0,0,64.8,22.3,204.4,1015.6,36.3,15,230.7,19.9,9,2018-08-07T03:58:27Z,2018-08-07T18:04:28Z,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
"New York City,USA",2018-08-08T00:00:00Z,33.3,24.4,28,38.7,24.4,30.3,22.7,73.9,0.469,100,4.17,0,0,35.3,16.6,206.5,1012.5,21,16,263.1,22.7,9,2018-08-08T03:59:25Z,2018-08-08T18:03:14Z,0.91,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.
"New York City,USA",2018-08-09T00:00:00Z,32.7,24.3,28.5,34.9,24.3,29.8,20.7,65.2,2.249,100,20.83,0,0,33.5,22.3,317.3,1009.2,30,15.8,262.1,22.8,9,2018-08-09T04:00:24Z,2018-08-09T18:01:59Z,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-08-10T00:00:00Z,32.1,24.3,27.4,33.8,24.3,28.2,18.6,59.4,0,0,0,0,0,31.7,11.2,304.4,1012,34.5,15.8,208.7,18,8,2018-08-10T04:01:22Z,2018-08-10T18:00:42Z,0.97,Partially cloudy,Becoming cloudy in the afternoon.
"New York City,USA",2018-08-11T00:00:00Z,26.7,22.2,24,27.9,22.2,24.1,21.7,87.3,47.44,100,54.17,0,0,9.1,9.1,50.1,1013.9,85.6,14.2,77.5,6.8,3,2018-08-11T04:02:21Z,2018-08-11T17:59:24Z,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
"New York City,USA",2018-08-12T00:00:00Z,30.5,23.3,25.8,33.3,23.3,26.8,22.2,81.3,1.641,100,16.67,0,0,16.6,16.6,43.5,1016.4,64.2,15.8,219.5,19.1,8,2018-08-12T04:03:20Z,2018-08-12T17:58:04Z,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
"New York City,USA",2018-08-13T00:00:00Z,26,22.8,23.7,26,22.8,23.7,21.9,89.7,13.78,100,41.67,0,0,37.1,27.7,52.8,1016.7,94.5,15.1,52.5,4.6,3,2018-08-13T04:04:19Z,2018-08-13T17:56:44Z,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
